ts,price,funding,decision,reason,position
1759556580000,6.449,,enter,"slope=0.0363,funding=0.000000,vol=0.020442765624279886,trend=up,sr_low=None,sr_high=6.449,atr=0.019621190793486665,mom=0.019621190793486665","Position(symbol='MYX/USDT', direction='long', entry_price=6.455449, size=203.8612, qty=31.5797088630086, entry_time=1759567206.2230265, pnl=0.0, exit_price=None, exit_time=None)"
1759556640000,6.53,,reduce,partial_target hit pct=0.0115,"Position(symbol='MYX/USDT', direction='long', entry_price=6.455449, size=101.9306, qty=15.7898544315043, entry_time=1759567206.2230265, pnl=0.9920675916100521, exit_price=None, exit_time=None)"
1759556700000,6.41,,hold,in_position pct=-0.0070,"Position(symbol='MYX/USDT', direction='long', entry_price=6.455449, size=101.9306, qty=15.7898544315043, entry_time=1759567206.2230265, pnl=0.9920675916100521, exit_price=None, exit_time=None)"
1759556760000,6.363,,exit,stop loss pct=-0.0143,"Position(symbol='MYX/USDT', direction='long', entry_price=6.455449, size=101.9306, qty=15.7898544315043, entry_time=1759567206.2230265, pnl=-0.6490798936373114, exit_price=6.356637, exit_time=1759567206.2240264)"
1759556820000,6.369,,hold,slope=-0.0045,None
1759556880000,6.391,,hold,slope=-0.0043,None
1759556940000,6.357,,hold,slope=-0.0072,None
1759557000000,6.263,,hold,trend up - skip short entry,None
1759557060000,6.194,,hold,trend up - skip short entry,None
1759557120000,6.256,,hold,slope=-0.0078,None
1759557180000,6.418,,enter,"slope=0.0166,funding=0.000000,vol=0.015097749365325246,trend=up,sr_low=None,sr_high=6.53,atr=0.011747162287121055,mom=0.0013725240102586275","Position(symbol='MYX/USDT', direction='long', entry_price=6.424418, size=340.50780000000003, qty=53.002124083457836, entry_time=1759567206.2250283, pnl=0.0, exit_price=None, exit_time=None)"
1759557240000,6.345,,exit,stop loss pct=-0.0124,"Position(symbol='MYX/USDT', direction='long', entry_price=6.424418, size=340.50780000000003, qty=53.002124083457836, entry_time=1759567206.2250283, pnl=-4.816209159302488, exit_price=6.338655, exit_time=1759567206.2250283)"
1759557300000,6.317,,hold,slope=0.0029,None
1759557360000,6.261,,hold,slope=-0.0060,None
1759557420000,6.276,,hold,slope=-0.0057,None
1759557480000,6.33,,hold,slope=0.0009,None
1759557540000,6.343,,hold,slope=0.0049,None
1759557600000,6.303,,hold,slope=-0.0003,None
1759557660000,6.312,,hold,slope=0.0012,None
1759557720000,6.291,,hold,slope=-0.0029,None
1759557780000,6.244,,hold,trend up - skip short entry,None
1759557840000,6.334,,hold,slope=0.0047,None
1759557900000,6.388,,hold,not near support: price 6.388000 > low 6.194,None
1759557960000,6.393,,hold,not near support: price 6.393000 > low 6.194,None
1759558020000,6.395,,hold,not near support: price 6.395000 > low 6.194,None
1759558080000,6.326,,hold,slope=-0.0033,None
1759558140000,6.349,,hold,slope=-0.0024,None
1759558200000,6.367,,hold,slope=-0.0004,None
1759558260000,6.36,,hold,slope=-0.0008,None
1759558320000,6.401,,hold,slope=0.0054,None
1759558380000,6.417,,hold,slope=0.0074,None
1759558440000,6.42,,hold,slope=0.0054,None
1759558500000,6.361,,hold,slope=-0.0042,None
1759558560000,6.388,,hold,slope=-0.0005,None
1759558620000,6.504,,enter,"slope=0.0138,funding=0.000000,vol=0.008887255849107588,trend=up,sr_low=None,sr_high=6.504,atr=0.006834558915407927,mom=0.003771215197858592","Position(symbol='MYX/USDT', direction='long', entry_price=6.510503999999999, size=585.2609, qty=89.89486835427796, entry_time=1759567206.2280266, pnl=0.0, exit_price=None, exit_time=None)"
1759558680000,6.472,,hold,in_position pct=-0.0059,"Position(symbol='MYX/USDT', direction='long', entry_price=6.510503999999999, size=585.2609, qty=89.89486835427796, entry_time=1759567206.2280266, pnl=0.0, exit_price=None, exit_time=None)"
1759558740000,6.48,,hold,in_position pct=-0.0047,"Position(symbol='MYX/USDT', direction='long', entry_price=6.510503999999999, size=585.2609, qty=89.89486835427796, entry_time=1759567206.2280266, pnl=0.0, exit_price=None, exit_time=None)"
1759558800000,6.545,,reduce,partial_target hit pct=0.0053,"Position(symbol='MYX/USDT', direction='long', entry_price=6.510503999999999, size=292.63045, qty=44.94743417713898, entry_time=1759567206.2280266, pnl=1.0217188423921701, exit_price=None, exit_time=None)"
1759558860000,6.462,,hold,in_position pct=-0.0075,"Position(symbol='MYX/USDT', direction='long', entry_price=6.510503999999999, size=292.63045, qty=44.94743417713898, entry_time=1759567206.2280266, pnl=1.0217188423921701, exit_price=None, exit_time=None)"
1759558920000,6.463,,hold,in_position pct=-0.0073,"Position(symbol='MYX/USDT', direction='long', entry_price=6.510503999999999, size=292.63045, qty=44.94743417713898, entry_time=1759567206.2280266, pnl=1.0217188423921701, exit_price=None, exit_time=None)"
1759558980000,6.421,,exit,stop loss pct=-0.0137,"Position(symbol='MYX/USDT', direction='long', entry_price=6.510503999999999, size=292.63045, qty=44.94743417713898, entry_time=1759567206.2280266, pnl=-3.5222435080004413, exit_price=6.414579000000001, exit_time=1759567206.2300274)"
