ts,symbol,last,volatility,ewma_volatility,vol_percentile,mover
2025-10-02T23:04:55.372328,DASHUSDT,32.81,1.2925022448337102,1.6373928966677385,36.111111111111114,0.4081545064377683
2025-10-02T23:04:55.372328,ETHFIUSDT,1.784,1.240481631104311,1.4147097242276963,30.555555555555557,0.6048604860486049
2025-10-02T23:04:55.372328,CAKEUSDT,3.213,1.0584673979646235,1.2522297184532134,25.0,0.33679833679833693
2025-10-02T23:04:55.372328,PENGUUSDT,0.03161,1.032751475758168,1.0055906103865753,19.444444444444443,0.02185297730652347
2025-10-02T23:04:55.372328,ZENUSDT,9.852,0.9751058649314156,1.176251812668591,13.88888888888889,0.38852874859075537
2025-10-02T23:04:55.372328,ARBUSDT,0.4507,0.6754337486823274,0.6379678239179856,8.333333333333334,-0.10308457711442776
2025-10-02T23:04:55.372328,EDENUSDT,0.3801,0.18039303930944012,0.6628694610294241,2.7777777777777777,-0.04943820224719109
2025-10-02T23:04:55.372328,2ZUSDT,0.61369,,,0.0,
ts,symbol,last,volatility,ewma_volatility,vol_percentile,mover
2025-10-02T23:35:10.791861,ALPINEUSDT,1.478,5.563586630427186,6.920885910483083,97.22222222222223,-0.1865712713263621
2025-10-02T23:35:10.791861,AVNTUSDT,1.1236,3.5861976886372005,3.581061172401536,91.66666666666667,-0.09696336760925439
2025-10-02T23:35:10.791861,FFUSDT,0.18327,3.405838833436072,6.931603358769686,86.11111111111111,-0.3495900330103291
2025-10-02T23:35:10.791861,SOMIUSDT,0.8132,3.4020450273451126,2.55360049876392,80.55555555555556,0.6536505999593247
2025-10-02T23:35:10.791861,BARDUSDT,0.8758,3.077069620033144,2.713546003502506,75.0,-0.17282085182736795
2025-10-02T23:35:10.791861,XPLUSDT,0.9196,2.8228980776210344,1.8379099508192258,69.44444444444444,-0.2801221326235027
2025-10-02T23:35:10.791861,ZECUSDT,129.39,1.916565231975886,2.4940209958214616,63.888888888888886,2.114024536925667
2025-10-02T23:35:10.791861,WLDUSDT,1.346,1.827180543246874,1.297208257208774,58.333333333333336,0.5157657657657659
2025-10-02T23:35:10.791861,PUMPUSDT,0.007065,1.671320335924116,1.522846476519532,52.77777777777778,0.19888002715085706
2025-10-02T23:35:10.791861,C98USDT,0.0658,1.4523976194995172,1.718399121372894,47.22222222222222,0.340122199592668
2025-10-02T23:35:10.791861,EIGENUSDT,1.782,1.4303990285035284,1.49701695774065,41.666666666666664,0.4759933774834437
2025-10-02T23:35:10.791861,DASHUSDT,32.18,1.2872767685519166,1.6274575478006565,36.111111111111114,0.3824034334763948
2025-10-02T23:35:10.791861,ETHFIUSDT,1.772,1.2270749158986003,1.3956787802383182,30.555555555555557,0.5958595859585958
2025-10-02T23:35:10.791861,PENGUUSDT,0.03166,1.0328367046558056,1.0057865792452123,25.0,0.02356630245037805
2025-10-02T23:35:10.791861,CAKEUSDT,3.122,0.9924900763695732,1.1525160639266765,19.444444444444443,0.3014553014553014
2025-10-02T23:35:10.791861,ZENUSDT,9.749,0.97019562244157,1.166697451613354,13.88888888888889,0.37387260428410385
2025-10-02T23:35:10.791861,ARBUSDT,0.4513,0.6763685686628232,0.639858525788074,8.333333333333334,-0.10169154228855704
2025-10-02T23:35:10.791861,EDENUSDT,0.38,0.17787955775638625,0.6639924515866489,2.7777777777777777,-0.051435705368289675
2025-10-02T23:35:10.791861,2ZUSDT,0.59564,,,0.0,
ts,symbol,last,volatility,ewma_volatility,vol_percentile,mover
2025-10-03T00:11:41.572138,ALPINEUSDT,1.48,5.561775383078831,6.761347809851483,98.07692307692308,-0.16459977452085683
2025-10-03T00:11:41.572138,AVNTUSDT,1.1142,3.483386363329791,3.4705504816940866,94.23076923076923,-0.10483611825192785
2025-10-03T00:11:41.572138,SOMIUSDT,0.8046,3.3848462340441867,2.6048863945487075,90.38461538461539,0.7885384273656153
2025-10-03T00:11:41.572138,FFUSDT,0.1828,3.155844134683196,6.71879666386062,86.53846153846153,-0.35115181201859935
2025-10-03T00:11:41.572138,BARDUSDT,0.8699,2.9715742242782843,2.629860105041736,82.6923076923077,-0.17848710926433087
2025-10-03T00:11:41.572138,XPLUSDT,0.9167,2.653607515643652,1.7810399716036074,78.84615384615384,-0.28207938620527684
2025-10-03T00:11:41.572138,ZECUSDT,133.26,1.9174942222744762,2.4327771272347722,75.0,2.1967765215299493
2025-10-03T00:11:41.572138,WLDUSDT,1.342,1.8292677568826186,1.2880289530786806,71.15384615384616,0.49609810479375693
2025-10-03T00:11:41.572138,PUMPUSDT,0.007018,1.6347228271194645,1.4777641408472408,67.3076923076923,0.19090446292211105
2025-10-03T00:11:41.572138,C98USDT,0.0649,1.4585108153224717,1.6927622197884813,63.46153846153846,0.3032128514056225
2025-10-03T00:11:41.572138,EIGENUSDT,1.758,1.4301632597070841,1.4701345454337071,59.61538461538461,0.4060751398880895
2025-10-03T00:11:41.572138,DASHUSDT,32.37,1.2909039733271492,1.5871405335482776,55.76923076923077,0.34987489574645525
2025-10-03T00:11:41.572138,WLFIUSDT,0.207,1.2833368535809806,1.556277695541647,51.92307692307692,-0.047399907961343746
2025-10-03T00:11:41.572138,ETHFIUSDT,1.73,1.2073559474839806,1.3226084768446973,48.07692307692308,0.5100261551874454
2025-10-03T00:11:41.572138,PENGUUSDT,0.03158,1.0330685408400464,1.1136849017739188,44.23076923076923,0.031130565446052083
2025-10-03T00:11:41.572138,ZENUSDT,9.69,0.9790542677224118,1.1745736407592988,40.38461538461539,0.35099707153813986
2025-10-03T00:11:41.572138,CAKEUSDT,3.075,0.9737448167749225,1.0889250566658788,36.53846153846154,0.28398159765788367
2025-10-03T00:11:41.572138,ENAUSDT,0.6263,0.9021462058326016,1.1981826556292543,32.69230769230769,-0.14262250205310711
2025-10-03T00:11:41.572138,NEARUSDT,2.957,0.7917808031476964,0.8332084077389418,28.846153846153847,0.1976508707978939
2025-10-03T00:11:41.572138,PEPEUSDT,1.012e-05,0.703598267245719,0.7148607099275842,25.0,0.02429149797570851
2025-10-03T00:11:41.572138,ARBUSDT,0.4486,0.6756287467045398,0.7472066272307473,21.153846153846153,-0.12073696589572713
2025-10-03T00:11:41.572138,SUIUSDT,3.5602,0.6752298762435768,0.6908525629715682,17.307692307692307,0.050891486598181546
2025-10-03T00:11:41.572138,APTUSDT,5.17,0.6657757405090353,0.7670822194818111,13.461538461538462,0.18576984671699814
2025-10-03T00:11:41.572138,XLMUSDT,0.4039,0.5680340843332802,0.6233884157144233,9.615384615384615,0.11540585311982321
2025-10-03T00:11:41.572138,EDENUSDT,0.3769,0.22712869373669994,0.6453832364734884,5.769230769230769,-0.059425717852684246
2025-10-03T00:11:41.572138,2ZUSDT,0.59783,0.0,0.06888359945612034,1.9230769230769231,0.0036120401337793595
ts,symbol,last,volatility,ewma_volatility,vol_percentile,mover
2025-10-03T00:15:57.992947,ALPINEUSDT,1.475,5.561762760238251,6.761404793330421,97.36842105263158,-0.1685456595264938
2025-10-03T00:15:57.992947,AVNTUSDT,1.1151,3.4833459248313487,3.4704758503150557,92.10526315789474,-0.10411311053984573
2025-10-03T00:15:57.992947,SOMIUSDT,0.8045,3.3848567919832773,2.604939271176939,86.84210526315789,0.785872945357619
2025-10-03T00:15:57.992947,FFUSDT,0.18196,3.1429369098070876,6.718976710419043,81.57894736842105,-0.3541333901252972
