human_utc,timestamp,close,pct15_pct_str,pct30_pct_str,pct60_pct_str,long_signal,short_quick,action,action_desc,pos_side,pos_entry,pos_size,pos_notional,equity_fmt
2025-10-02 04:30:00 UTC,2025-10-02 04:30:00+00:00,15.333,+3.59%,+1.54%,-3.57%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 04:45:00 UTC,2025-10-02 04:45:00+00:00,15.181,-0.99%,+2.57%,-3.57%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 05:00:00 UTC,2025-10-02 05:00:00+00:00,15.411,+1.52%,+0.51%,+2.05%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 05:15:00 UTC,2025-10-02 05:15:00+00:00,15.421,+0.06%,+1.58%,+4.19%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 05:30:00 UTC,2025-10-02 05:30:00+00:00,15.123,-1.93%,-1.87%,-1.37%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 05:45:00 UTC,2025-10-02 05:45:00+00:00,15.152,+0.19%,-1.74%,-0.19%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 06:00:00 UTC,2025-10-02 06:00:00+00:00,14.988,-1.08%,-0.89%,-2.74%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 06:15:00 UTC,2025-10-02 06:15:00+00:00,15.077,+0.59%,-0.49%,-2.23%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 06:30:00 UTC,2025-10-02 06:30:00+00:00,15.03,-0.31%,+0.28%,-0.61%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 06:45:00 UTC,2025-10-02 06:45:00+00:00,15.07,+0.27%,-0.05%,-0.54%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 07:00:00 UTC,2025-10-02 07:00:00+00:00,14.928,-0.94%,-0.68%,-0.40%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 07:15:00 UTC,2025-10-02 07:15:00+00:00,15.049,+0.81%,-0.14%,-0.19%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 07:30:00 UTC,2025-10-02 07:30:00+00:00,15.08,+0.21%,+1.02%,+0.33%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 07:45:00 UTC,2025-10-02 07:45:00+00:00,15.214,+0.89%,+1.10%,+0.96%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 08:00:00 UTC,2025-10-02 08:00:00+00:00,14.861,-2.32%,-1.45%,-0.45%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 08:15:00 UTC,2025-10-02 08:15:00+00:00,14.917,+0.38%,-1.95%,-0.88%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 08:30:00 UTC,2025-10-02 08:30:00+00:00,14.901,-0.11%,+0.27%,-1.19%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 08:45:00 UTC,2025-10-02 08:45:00+00:00,14.964,+0.42%,+0.32%,-1.64%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
